 | A instância está INATIVA
 | Tempo de atividade: 0 h   7 min 39 seg.
tomcat-server
 | instancia iniciada com sucesso.
 | A instância está INATIVA
 | Tempo de atividade: 0 h   0 min 12 seg.
 | A instância está INATIVA
 | Tempo de atividade: 0 h   0 min 26 seg.
2025-02-13 04:36:36 | A instância está INATIVA
2025-02-13 04:36:36 | Tempo de atividade: 0 h   1 min 34 seg.
2025-02-13 04:36:41 | instancia iniciada com sucesso.
2025-02-13 04:37:25 | A instância está INATIVA
2025-02-13 04:37:25 | Tempo de atividade: 0 h   2 min 23 seg.
tomcat-server
2025-02-13 04:37:30 | instancia iniciada com sucesso.
2025-02-13 04:37:48 | A instância está INATIVA
2025-02-13 04:37:48 | Tempo de atividade: 0 h   0 min 3 seg.
2025-02-13 04:37:50 | A instância está INATIVA
2025-02-13 04:37:50 | Tempo de atividade: 0 h   0 min 5 seg.
2025-02-13 04:37:51 | A instância está INATIVA
2025-02-13 04:37:51 | Tempo de atividade: 0 h   0 min 6 seg.
2025-02-13 04:37:52 | A instância está INATIVA
2025-02-13 04:37:52 | Tempo de atividade: 0 h   0 min 7 seg.
2025-02-13 04:37:54 | A instância está INATIVA
2025-02-13 04:37:54 | Tempo de atividade: 0 h   0 min 9 seg.
2025-02-13 04:37:57 | A instância está INATIVA
2025-02-13 04:37:57 | Tempo de atividade: 0 h   0 min 12 seg.
2025-02-13 04:37:58 | A instância está INATIVA
2025-02-13 04:37:58 | Tempo de atividade: 0 h   0 min 13 seg.
2025-02-13 16:25:21 | A instância está INATIVA
2025-02-13 16:25:21 | Tempo de atividade: 0 h   0 min 21 seg.
2025-02-13 16:27:43 | A instância está INATIVA
2025-02-13 16:27:43 | Tempo de atividade: 0 h   2 min 43 seg.
tomcat-server
2025-02-13 16:27:48 | instancia iniciada com sucesso.
2025-02-13 16:28:10 | A instância está INATIVA
2025-02-13 16:28:10 | Tempo de atividade: 0 h   0 min 3 seg.
